,Company,Job,Location,Salary,Specific_location,Summary
520,Harnham,SQL/R/PYTHON DATA SCIENTIST,London,80000.0,London,"Data Science, Data Scientist, High Tech, Internet Technology, SQL, SAS, Python, R, Tableau, London. If you are looking for a role to combine your skills in Data..."
521,DNAe,Software Engineer (Python & C++),London,45000.0,London W12,"The role requires developing and maintaining a high-throughput pipeline including data analysis, data handling (new file formats), visualization and..."
522,DataTech Search and Selection,Data scientist,London,70000.0,London,Proven track record in data science or analytics roles. Experience with data visualization. Explore data using advanced analytics....
523,Major Players,Data Scientist,London,27000.0,Greater London,Data Scientist - London. Data Scientist - The Company. Data analysis & metric development. If you are a graduate or someone wanting to move into the world of...
524,Salt Recruitment,Data Scientist & Strategy Consultant,London,82500.0,Greater London,My client is a world leading consultancy who are looking to expand the analytics team further with data science talent....
525,Thames Water Utilites,Senior data scientist,London,50000.0,Slough,"To be considered for this role we are looking for someone who has a wealth of data science experience and you will have a degree in Mathematics, Data Science,..."
526,Kae,German and/or Mandarin Speaking Research Consultant,London,27000.0,London SE1,"We are interested in both arts and science graduates, but a Business degree will be an advantage. We then use our commercial mind-set and creativity to turn..."
527,Strategic People,Python Developer,London,67500.0,London,Educated to degree level – Computer Science preferred. Develop data analysis and management tools to report on technology effectiveness....
528,MBN Recruitment Solutions,Junior Data Scientist (Media),London,32500.0,London,"There will be a chance to work with large data sets that include digital analytics, customer sales data and competitor behavioural data...."
529,sophus3,Digital Insight Analyst,London,23000.0,London,"Liaise with different stakeholders to collect multiple data, data pulling and data cleaning. Excellent presentation and data visualization skills...."
530,University College London,Marie Curie Early Stage Researcher x2,London,34204.0,London,The candidate will be based in the Quantitative Social Science (QSS) unit which specialises in applying advanced quantitative methods to large scale data sets...
531,Harnham,DATA SCIENTIST – BITCOIN – START-UP,London,50000.0,London,Work on Data Science projects from start to finish. Data Scientist - Bitcoin - Start-up. Work autonomously on data problems....
532,Harnham,DATA SCIENTIST,London,30000.0,Hammersmith and Fulham,"Validating high volumes of data. This role reports to the Head of Data science, and you'll be joining a small but growing team focused on using predictive..."
533,Opus Recruitment Solutions,Data Science Director,London,150000.0,London,**Data/ Data Science/ Data Engineering***. Strong data science/ analytics knowledge – do you code for fun? Experience bringing structure into Data Science Teams...
534,Twenty Recruitment Group,Head of Data Science - Financial Services - London,London,160000.0,London,Define a Data Science road-map. Utilise machine learning and large-scale data mining techniques. Twenty are exclusively partnered with a leading financial...
537,kdr Recruitment,"Data Scientist – SPSS, R, SAS",London,55000.0,London,How would you like to join a brand-new Data Science team? Your expertise in the data science space will enable you to determine what are the best machine...
538,McGregor Boyall,Data Scientist,London,62500.0,London,"Good programming skills (Python, R, Matlab, C ), with exposure to Data Science/Visualisation packages such as SciKit Learn, Keras/Tensorflow, Plotly...."
539,Alexander Ash Ltd,Data Scientist,London,60000.0,London,Fundamental to the success of this role will be the ability to deliver business benefit through build and change analytic solutions / models / dashboards /...
540,Reqiva,DATA SCIENTIST,London,67500.0,London,"The organisation are determined to become a renowned consultancy with expertise across data engineering, data science, machine learning/AI and visualisation...."
541,Reqiva,DATA SCIENTIST NLP,London,60000.0,London,"As an NLP Data Scientist, you will have the opportunity to work in a data science culture that constantly revolutionises their industry...."
542,Datatech Analytics,Data Scientist,London,55000.0,London,"Handle vast amounts of data. Possess data science experience, with some ability to bridge the ETL and DAD roles of an engineer and scientist...."
543,Oho Group,Data Scientist- Machine Learning,London,70000.0,London,Data Scientist/London/Machine Learning. A desire to delve into the world of Data Science and Machine Learning....
544,Oho Group,Data Scientist- Deep Learning,London,75000.0,London,"The successful Data Scientist will be working collaboratively with domain, engineering and Data Science experts...."
545,Talentpoint Jobs,Data Scientist,London,77500.0,London,Are you passionate about data science? Passion for data science and naturally curious. As a Data Scientist you will have complete autonomy and as the role...
546,Harnham,DATA SCIENTIST | MACHINE LEARNING,London,90000.0,London,For more information about similar data science positions please contact Nick Mandella at Harnham. Data Scientist | Machine Learning....
547,Harnham,DATA SCIENTIST - COMPUTER VISION,London,70000.0,London,"A Ph.D/Post-Doc in Computer Science, Computer Vision, Machine Learning, Artificial Intelligence, Deep Learning etc. Researcher - Driver-less Car Start-up...."
548,Client Server,Data Scientist Java Python - Trading,London,52500.0,London,World leading online trading firm is seeking a talented Data Scientist to work within the Marketing Data Science team. Big Data technologies....
549,Xcede Digital,Data Scientist - eLearning,London,47000.0,London,Xcede’s Data Science team are working with one of the world’s leading education / e-learning companies who are looking to add 2 Data Scientists to their team in...
550,Xcede Digital,Data Scientist,London,55000.0,London,Data Science / Machine learning is core to the product – building a unique view of companies’ consumers. Xcede’s Data Science team are working with a leading...
551,Harnham,DATA SCIENTIST - DATA LAB,London,80000.0,London,"Data Scientist | R&D. Harnham are working with a leading financial services data provider, helping to build out their core R&D Data Lab...."
552,Premier Group Recruitment,Data Scientist (Machine Learning/Neural Networking),London,70000.0,London,"Experience with common data science toolkits, such as R and NumPy. Data Scientist (Machine Leanring/Neural Networking)...."
553,Aspire Data Recruitment,Data Scientist,London,70000.0,London,"Previous experience in a Data Science or Analytical role. Degree or equivalent in Data Science, Computer Science, Software Engineering, Information Technology..."
554,Aspire Data Recruitment,Data Scientist - Banking - London,London,50000.0,London,"Bachelor degree in Math, statistics, computer science and engineering etc. You’ll also engage in big data analysis/research, web analytics, social media..."
555,Harnham,DATA SCIENTIST (DEEP LEARNING),London,75000.0,London,Championing the use of data and analytics/data science within the business. Harnham are currently working with a unique data science team in central London in...
556,Pentasia,Data Scientist,London,35000.0,London,2+ years in a Analytics or Data Science role. Experience of Data Studio. (Currently with Google Data Studio)....
557,Aspire Data Recruitment,"Data Scientist - Python, R, Scala, Java etc...",London,50000.0,London,You will work alongside a team of analysts within the data science department using the latest technologies in analytics and big data....
558,Nicoll Curtin Limited,Data Scientist,London,45000.0,London,"Input into the company data strategy. Under the direction of the Head of Data Science, and working closely with the Heads of Customer Value and Customer..."
559,Hasson Associates,Marketing & Data Scientist,London,52500.0,London,"This global insight business is looking to add to its London-based data science team. With a strong background in statistics, survey methodology and advanced..."
560,Cogs Agency,Data Scientist,London,80000.0,London,"” Previous Data Science client-side experience. ” Work in a multi-disciplinary environment mixing highly skilled people in data science, data engineering, Data..."
561,Metrica Recruitment,Data Scientist,London,52500.0,London,Commercial data science experience. An experienced data scientist with the ability to interpret large data sets to generate actionable insight....
562,TDA Recruitment,"Data Scientist - FTSE100 - R, Python - Machine Learning",London,50000.0,London,"For more information on this excellent Data Science role, please send in your CV ASAP. Knowledge of managing, manipulating and transforming data from a variety..."
563,Oscar Technology,Data Scientist,London,45000.0,London,"You will need to have relevant qualifications in Data Science and experience using SQL, Data Science Toolkits and RDBMS...."
564,PSD Group,"Data Scientist –Python, Jupyter, Numpy, Scikit",London,75000.0,London,"Great opportunity to learn data science techniques and algorithms. Data preparation (cleansing, etc). Our client are at the bleeding edge of the Propetch sector..."
565,Xcede Digital,Data Scientist - Fitness,London,52000.0,London,The Data Scientist will be responsible for analysing data from wearable tech sensor data and GPS data to improve fitness and performance....
566,Client Server,Data Scientist Python Machine Learning,London,40000.0,London,"As a Data Scientist you will use your strong technical skills (Python) and experience of analysing large, complex data sets to help solve a number of..."
567,Xcede Digital,Data Scientist (NLP) - Education,London,60000.0,London,Xcede’s Data Science team are working with an exciting education tech start-up based in London. They already have a small Data Science and Engineering team in...
568,Harnham,DATA SCIENTIST - BITCOIN,London,45000.0,London,"Data Scientist - Bitcoin. Machine learning, statistics, computer science). As a Data Scientist you could earn up to £45,000 + benefits package...."
569,Harnham,DATA SCIENTIST - BAYESIAN,London,70000.0,London,Harnham are currently working with one of the world's most exciting tech companies who are looking to continue building their Data Science function after...
570,Datatech Analytics,Data Scientist - Acquisition Marketing,London,70000.0,London,Stay up to date with the latest data science technologies. Clean and manage data. Possess knowledge of data mining and analytic methods....
571,TechNET IT Recruitment Ltd,"Data Scientist; Python, R, SAS, Scala, Spark, Shiny",London,83000.0,London,Development of bespoke data science tools. Data analysis and model development using the R programming language....
572,Woolf Group,Data Scientist,London,80000.0,London,"Significant experience with one or more data science tool-kits (Python / R / SAS etc.). A commercially focused mind-set, with a passion for using data to solve..."
573,FINTEC recruit,Data Scientist,London,75000.0,London,"Knowledge and experience with Data Science techniques including, but not limited to:. Create insightful data visualisations that highlight trends...."
574,Aspire Data Recruitment,Data Scientist - Commercial Banking,London,65000.0,London,"The Data Scientist will have:. Strong knowledge and experience in big data, machine learning algorithm, predictive algorithms, statistics modelling and data..."
575,Twenty Recruitment Group,Deep Learning Data Scientist - Financial Services - London,London,95000.0,London,Or Master's Degree or equivalent preferably in a Data Science or Quantitative discipline. Deep Learning Data Scientist is required to work with a leading...
576,Harnham,DATA SCIENTIST - FINANCIAL SERVICES,London,60000.0,London,Data Scientist - Global FinTech. DATA SCIENTIST - WHAT YOU NEED. My client are a global fintech company who are currently in the process of building a...
577,Pertemps Network Group,Data Scientist,London,60000.0,London,"The Data Science team of a large financial services company and a Sunday Times Top 100 company, is excited to be recruiting exceptional data scientists into..."
578,Churchill Frank,Big Data Scientist,London,57500.0,London,"Proven big data experience, either from an implementation or a data science prospective,. I am looking for an individual with a proven track record in data..."
579,Vector Recruitment Limited,Data Scientist (Video Content and Text Analysis),London,30875.0,London," A Masters (MSc/ MRes/ MPhil / MEng) OR Doctorate in Computer Science, Data Science, Electronics Engineering OR Physics. The Data Scientist will:...."
580,Harnham,DATA SCIENTIST - TECH COMPANY,London,70000.0,London,Level Data Scientists. The Harnham Data Science team are currently working with an exciting tech company based in central London who are looking to add a Senior...
581,Harnham,DATA SCIENTIST - BILLION DOLLAR TECH COMPANY,London,80000.0,London,"Experience - Data Scientist. The Role - Data Scientist. Statistics, Machine Learning, Applied Mathematics, Computer Science etc...."
582,Imperial College London,Research Associate,London,40510.0,South Kensington,"PhD in computer science, statistics, data science, or in a quantitative field; Knowledge of data analysis methods and how to apply templates and theories to the..."
584,ASP Training & Consultancy,Education Data Officer,London,26000.0,London,"Supporting the Data Manager. Working with Data in School/MAT/LA:. Analysing pupil, school, LA level data...."
585,Futureheads Recruitment,Client Facing Data Scientist,London,70000.0,London,"This is an impactful role with joining the client facing data science team. Full familiarity with data science and machine learning techniques, preferred..."
586,Lawrence Harvey,Client Facing Data Scientist - London - Disruptive AI Platfo...,London,105000.0,London,The successful Client Facing Data Scientist will join a rapidly growing team of Data Science & Machine Learning experts....
587,University College London,Research Associate in Neuroscience,London,38249.5,London,"Experience with gene expression data is desirable but not necessary, however experience with large-scale data processing in some form is essential...."
588,LSE Jobs,Research Economist,London,38377.5,London WC2A,"Ideally, you have already worked with patent data and/or firm level datasets. A PhD in Economics or other quantitative science discipline (or being within 1..."
589,University College London,4 year Fully funded PhD Studentship in ventilation practices...,London,18000.0,London,"This project will provide a multi-disciplinary research training platform for the student, including elements of environmental science, energy demand,..."
590,GatenbySanderson,"Director, Risk and Intelligence",London,120000.0,London,"As one of HMRC’s two key data science leaders, you will have a remit to further develop and continuously improve HMRC’s outstanding Risk and Intelligence..."
591,University College London,Research Associate,London,36093.0,London,The principal duties will be to establish new analytic pipelines focused on the use of short read and long read sequencing data to identify novel transcripts...
592,Datatech Analytics,Graduate Data Science Analyst,London,25000.0,London,This organisation is renowned for delivering data support for direct marketing promotions and advanced analytics to their large client base from a team of very...
593,Xcede Digital,Junior Machine Learning Analyst,London,27000.0,London,This is an ideal chance for a strong junior analyst to have an opportunity to take a step towards the data science sphere....
595,Click Digital,Data Consultant,London,70000.0,London,"Advanced analytics and data science techniques knowledge; You will work on some exciting projects with the Data Engineering and Data Science teams, being at the..."
596,Silverdrum,Head of Performance Analytics – Global Media Agency,London,90000.0,London,Build and manage the Data Science team in accordance with business growth. They are looking for an experienced hands-on analytics practitioner to lead this Data...
597,Amaris,Research Associate,London,33000.0,London,"A bachelor’s, master’s degree or a doctoral degree in public health, health economics, statistics, epidemiology, biostatistics, life science, pharmacy,..."
598,Inspiring Interns,Data Scientist,London,14500.0,London,"Bachelor’s degree in Data Science, Statistics, Computer Science. Use R, Python or similar tools for data analysis, structuring, transforming and visualising big..."
599,Salt Recruitment,Data Scientist – Tech Consulting – London,London,75000.0,Greater London,"Academic background in a quantitative field such as Data Science, Mathematics, Computer science or similar. Data Scientist and Senior Data Scientist – London –..."
600,University College London,Research Associate in Bioinformatics/Computational Biology,London,38249.5,London,This project will investigate new ways of combining protein family and network data with other types of protein data....
601,Elizabeth Norman International,Data Scientist (SQL),London,40000.0,London,"2-3 years experience in data science. We’re looking for a data scientist with 2-3 years plus experience to join a big data consultancy, who are the in-house..."
602,Harnham,SAS/SQL DATA SCIENTIST,London,80000.0,London,"Analyst, Strategy Analyst, Market Development, Consultancy, Insight, Finance, Insurance, Data Analytics, Data Science, SAS, SQL, Excel, London...."
603,Virgin Media,Senior Insight Analyst,London,45000.0,Hammersmith,"Experience with TV viewing data, specifically BARB and/or directly measured viewing data, but others would be useful too...."
604,Xcede Digital,Data Scientist - Credit scoring,London,65000.0,London,Xcede’s Data Science team are working with an exciting fintech company in central London who are looking to make their second Data Science hire....
605,IDEX Consulting,Associate | IT/Data Protection,London,95000.0,London,"Reporting to the markets commercial IT/TMT partner group, the firm are looking to appoint an Associate with a strong commercial IT or data protection experience..."
606,Virgin Media,Media Campaign Delivery Analyst,London,45000.0,Hammersmith,"Consumer analytics, campaign operations, data intelligence and marketing effectiveness. 2 to 4 years of core data processing or experience...."
607,Seven Data Science,Data Architect (Lead Big Data Architect),London,115000.0,London,"Lead Big Data Architect. Good overall knowledge of data technology and trends, especially of Big Data products...."
608,Bettor Believe,Modelling Analyst - MSc or PhD Mathematics/Statistics Gradua...,London,45000.0,London,"Automating data tasks where possible:. Data generation, acquisition, storage and manipulation. Skilled in analysing and interpreting complex quantitative data...."
609,Royal College of Art,Research Associate - Global Health Index,London,32907.0,London,"The successful candidate will have a proven interest in people-centred design research and methods, and data science and/or global healthcare...."
610,Imperial College London,Research Associate in Synthetic Chemistry and Chemical Biolo...,London,40510.0,White City,To conduct data analysis. To ensure the validity and reliability of data at all times. The collaborative project features researchers across the Faculties of...
611,Harnham,DATA SCIENTIST - FINANCE - FRAUD & LENDING,London,70000.0,London,"Data Scientist - Fraud & Lending. Work alongside the experienced Analysts and Scientists to create ML solutions Provide actionable insight from complex,..."
612,Up Learn,Learning Executive,London,47500.0,London,Learn how to use cognitive science to produce the most effective learning content in the world. Ensure content is accurate and complete by working with students...
613,NP Group,Lead Data Scientist (Applied),London,80000.0,London WC1A,NP Group are working with a leading global data science consultancy who are looking for a Lead Data Scientist to join their established practice....
614,MediaGamma,Software Engineers to work at ML startup,London,62500.0,Clerkenwell,"We’re productionising world-leading data science (we’re a spin-out of University College London’s Computer Science department), and you’ll collaborate with..."
615,MediaGamma,Software Engineer,London,70000.0,London,"We’re productionising world-leading data science, and you’ll collaborate with other engineers and product owners to solve interesting and challenging problems..."
616,Pusher,Software Engineer,London,55000.0,London,You have an understanding of Computer Science theory and principles. Pusher is a communication layer for application developers that routes data at scale and in...
617,Quantexa,Scala Software Engineer,London,44500.0,London,Prior experience in data science methods and techniques. Big data technologies and applications such as Spark and Hadoop....
618,Frontier (The Society for Environmental Exploratio...,Research and Operations Officer,London,14136.0,London,Relevant social science or. To supervise the science and research aspect of. Respond to research proposals and survey or data collection queries from field...
619,Inspiring Interns,Graduate Data Analyst,London,15000.0,London,"Comfortable presenting data to stakeholders of varying levels and understanding. Graduate with a degree in Mathematics, Statistics, Science, Technology,..."
620,Founders Factory,Software Engineering Director (Uquant),London,67500.0,London,Experience with efficiently extracting complex big data (in our case sensor either numerical data or data related to engineering simulations from databases)....
621,Venturi,Director of Data Science – Machine Learning / R / Python,London,130000.0,Greater London,Proven team leadership/management skills (preferably already being a Head of Data Science or Data Science Director);...
622,Xihelm,Deep Learning (Computer Vision) Engineer,London,65000.0,London,"Experience working with 3D point cloud data. Degree in Computer Science, Electrical Engineering, Physics, Mathematics or undeniably equivalent practical..."
623,National Physical Laboratory,Junior Scientist Advanced Apprenticeship - Level 3,London,12000.0,Teddington,Assessing and managing data. Successful completion of a BTEC in Applied Science. These must include English and Maths and ideally a Science subject....
624,National Physical Laboratory,Junior Measurement Scientist Advanced Apprenticeship - Level...,London,12000.0,Teddington,Analysing and recording results and data. Our science impacts many different areas of your day to day life;...
625,Client Server,C++ Developer Python Spark - Technologist,London,82500.0,London,"Knowledge of financial systems, Machine Learning and Big Data technologies. Thorough understanding of Computer Science fundamentals such as multi-threading,..."
626,Click Digital,Principal Data Consultant,London,95000.0,London,"You will work on some exciting projects with the Data Engineering and Data Science teams, being at the forefront of data projects using cutting-edge technology..."
627,Michael Page UK,Data Scientist (Fintech) (Insurance Experience),London,52500.0,London,Drive the data science process behind building the solution; Our client is looking for skilled data scientists to work on leveraging data to provide a data...
628,LSE Jobs,Research Officer,London,34736.0,London WC2A,"You will at the time of appointment have completed a PhD in a social science programme - preferably in Economics, Political Science, or Sociology...."
629,Imperial College London,Research Associate in Adversarial ML and Identity Learning,London,40510.0,South Kensington,"The CPG’s research projects usually include a mix of theoretical and empirical work with large-scale mobile-phone data, credit card transaction data, healthcare..."
630,RMS,Cyber Risk Analyst,London,39600.0,London,"To address this, RMS is building a suite of cyber risk models and analytics – at the intersection of data science, cyber security and risk modelling – to..."
631,Risk Management Solutions,Cyber Risk Analyst,London,39600.0,London,"Must have client facing experience and able to demonstrate ability to translate science / technology into the ""so what"" for business focused users...."
632,Corecaster,Business Intelligence Analyst,London,35000.0,London,"Data transformation, explanatory data analysis, visualization and reporting. As a data analyst or business data analyst, preferably including some experience..."
634,NP Group,Head of Data Engineering,London,110000.0,London E14,"Lead Data Engineer / Manager - Python, Data Science, Data Engineering. Team Lead, Python Development , Data Engineering & Data Science...."
635,CBSbutler,Mathematical Modelling Graduate,London,26000.0,London,"+ On occasion, analyse trials data and to produce reports for internal and external customers. + A Masters or Bachelors Degree from a good university in..."
636,"Department for Digital, Culture, Media and Sport",Band B Data Economy Advisor,London,35014.5,London SW1A,"Identifying our most valuable data, maximising the potential of data for growth and productivity, how we manage data as an asset in the economy and society and..."
638,University College London,Teaching Fellow in Quantitative Research Methods,London,40222.5,London,"The applicant must have excellent working knowledge of R and R Studio and knowledge of basic social science statistics, (including panel data models and limited..."
639,DigiTech Search,Team Lead Data Science (Scientist),London,80000.0,London,"Performance of data discovery, data enrichment, statistical clustering etc. Knowhow around unstructured data storage and understanding of relational data...."
640,Alto,Data Engineer / Scientist,London,65000.0,Shoreditch,"For the first couple of months the role will be focused on data engineering with some data science needs, but will evolve rapidly to be more focused on data..."
641,Evolution Recruitment Solutions,"Data Science Analyst - 25,000 - 40,000 - North West London",London,32500.0,North West London,One of London's leading Sports Trading Financial companies is looking for a Data Science Analyst to join their brand....
642,Prostate Cancer UK,Knowledge Manager,London,42065.0,London,"Educated to postgraduate level in a health epidemiological, or other science or research discipline with proven statistical skills, as well as analytical skills..."
643,British Gas,Data Delivery Analyst,London,40000.0,Staines-upon-Thames,"Wider data management experience (including business intelligence, data analysis, data science, big data, data migration, data quality, data governance)...."
644,Major Players,Senior BI Analyst/Data Scientist - Entertainment - London,London,65000.0,Greater London,+3 years experience in data science or marketing analytics role. This is the perfect role for someone who wants to continue to grow their data analysis skills...
645,Salt Recruitment,Data Analyst,London,47500.0,Greater London,"Analytics , data analyst , Data Science , Data Scientist , ETL , predictive modelling , Python , R , SQL...."
646,Futureheads Recruitment,Lead Data Analyst/Scientist,London,60000.0,London,Experience with data visualisation. The Data & Analytics team. Team members range from hard-core data engineers who are passionate about marketing and...
647,Opus Recruitment Solutions,Lead Data Scientist,London,87500.0,London,Data Scientist - Python/ Machine Learning/ Hadoop/ Spark. At least 3 years of work experience as a data scientist....
648,Harnham,LEAD DATA SCIENTIST,London,85000.0,London,"Head of Data Science. Designing the data science road-map. A key (and urgent) hire at the moment is the Head of Data Science position in London, to be quickly..."
649,Premier Group Recruitment,Lead Data Scientist,London,75000.0,London,"Lead Data Scientist. Experience working with various different areas of Data science (Artificial intelligence, Machine Learning, Data Warehousing, etc.),..."
650,Salt Recruitment,Lead Data Scientist,London,75000.0,London,"Advanced statistical and data science skills. Proven experience building, implementing and maintaining data science models...."
651,Aspire Data Recruitment,Lead Data Scientist,London,80000.0,London,Expanding financial services provider requires a Data Science Lead to join a growing team. Building a team of world class data scientists....
652,Major Players,Data Engingeer,London,55000.0,Greater London,"Deep experience in data warehouse, data integration and data modelling. Data Engineer - London. Data Engineer - The Company...."
654,Visiongain,Pharmaceutical Market Analyst / Editor,London,35000.0,Croydon CR0,Comfortable with interpreting and producing numerical and written data. Competent with researching market/economic trends using primary and secondary data...
655,Cogs Agency,Data Analyst,London,40000.0,London,” 2+ years in an Analytics or Data Science role. Data Analyst – London. (Currently with Google Data Studio). ” Identify opportunities and optimisations through...
656,Imperial College London,Research Associate in Bacterial Infection and Innate Immunit...,London,40510.0,South Kensington,A strong record of data dissemination. To analyse and present data for interpretation by others. To ensure the validity and reliability of data at all times....
657,Founders Factory,illumr : Analytical Developer,London,52500.0,London,Working with the Chief Data Scientist and CTO to take our data science algorithms and integrate them into our analytics platform....
658,Saggezza,Software Developer,London,50000.0,London,"Skilled in interpreting and applying technical data. Bachelor’s degree / Master’s degree in Computer Science, Computer Engineering or related field...."
659,London School of Hygiene & Tropical Medicine,Research Fellow,London,41146.0,London,"The post-holder will have a postgraduate qualification (PhD) in pharmaceutical science, significant research experience in skin drug delivery and skin care..."
660,Evaluate Group,Senior Analyst (Evaluate Ltd),London,40000.0,London,"Research, prototyping and analysis of data 70%. Workstreams will cover subject areas such as consensus forecast, company financials, pricing and market access,..."
661,Aviva,Data Analyst - University Placement Student,London,20300.0,London,As a Data Analyst you will join our Global Finance Data Office. You will need a good aptitude for numbers so may be studying in one of the Analytic disciplines...
662,Amaris,Research Associate in Biostatistics,London,33000.0,London,"A bachelor’s, master’s degree or a doctoral degree in public health, health economics, statistics, epidemiology, biostatistics, life science, pharmacy,..."
663,INFOPRO Digital,Research Analyst,London,22000.0,London,"Big Data, Machine Learning, Artificial Intelligence). Economics, computer science, or an IT related topic). £21,000 - £23,000 per annum, plus bonus...."
664,Risk Management Solutions (RMS),Cyber Risk Analyst,London,39600.0,London,"To address this, RMS is building a suite of cyber risk models and analytics – at the intersection of data science, cyber security and risk modelling – to..."
665,Harnham,"DATA SCIENCE CONSULTANCY - PARTNER - LONDON - £150,000",London,150000.0,London,Data Science Consultancy - Partner - Data Science / Engineering. They currently have a team of 20 Data Scientists and Engineers that are deployed across a wide...
666,Harnham,DIRECTOR - BIG DATA AND DATA SCIENCE,London,130000.0,London,"Director - Big Data and Data Science. Data Science (including Machine Learning), Cloud Data Systems, Distributed Data Technology (Hadoop / Spark), Data..."
667,Xcede Digital,Graduate Machine Learning Analyst,London,27000.0,London,This is an ideal chance for a strong junior analyst to have an opportunity to take a step towards the data science sphere....
668,Harnham,SENIOR DATA SCIENTIST - COMPUTER VISION - PATTERN RECOGNITIO...,London,60000.0,London,THE ROLE Work closely with talented Data Scientists Build models from scratch based upon comprehensive live data sets Work directly with the companies owner to...
669,Harnham,R/PYTHON SENIOR DATA SCIENTIST - PERSONALISATION,London,80000.0,London,"R/Python Senior Data Scientist - Personalisation. This position sits within an innovative and market leading data science team, offering the chance to work on..."
670,Just Eat,Senior Product Analytics & Optimisation Manager,London,85000.0,London,"Data and AI. Experienced in using data visualisation tools such as Tableau (or similar). Coordinate across regions, where applicable, ensuring standardized data..."
671,Saggezza,Python Developer,Liverpool,42500.0,Liverpool,"Skilled in interpreting and applying technical data. Bachelor’s degree / Master’s degree in Computer Science, Computer Engineering or related field...."
672,Liverpool John Moores University,Research Assistant,Liverpool,29049.5,Liverpool,The Department of Computer Science is recruiting a Research Assistant to work on an EPSRC funded project titled ‘ Data Analytics for Health-Care Profiling using...
673,Informatiq Consulting,"Data Scientist - R, Python",Liverpool,60000.0,Liverpool,"Data Scientist - R, Python. Data Scientist - R, Python - Role.  Ability to create meaningful data visualisations...."
674,Health and Safety Executive,Senior Data Analyst,Liverpool,40348.5,Bootle L20," Experience of developing data science applications, tools or dashboards for end users. Science Division is the part of HSE responsible for Science and..."
675,Liverpool John Moores University,Postdoctoral Research Asst,Liverpool,35690.5,Liverpool,"In brief, the aim of this part of the project is to design and develop deep learning algorithm models for advanced image processing of nature conservation data..."
676,University of Liverpool,Lecturer in Artificial Intelligence Grade 8,Liverpool,45305.0,Liverpool,O Data Mining and Machine Learning. The School invites applications for an academic position in the Department of Computer Science....
677,Informatiq Consulting,"Data Analyst - R, Python, SQL",Liverpool,60000.0,Liverpool,"Data Analyst - R, Python, SQL. Data Analyst - R, Python, SQL - Role.  Ability to create meaningful data visualisations...."
678,Liverpool John Moores University,Postdoc. Research Fellow EPSRC Grant,Liverpool,35690.5,Liverpool,Flight test data will be used with advanced system identification techniques to increase the fidelity of the flight simulation models used on HELIFLIGHT-R....
679,Churchill Frank,"Senior Data Scientist - Liverpool - £70, 000",Liverpool,60000.0,Liverpool,"In this position you will work with the Head of Data Science to improve the design of Data Science and Analytics projects, to ensure that the business optimises..."
680,Liverpool In Work,Quality Controller,Liverpool,19000.0,Liverpool,"Collate data and report on appropriate form. Possess the ability to understand, record and interpret data correctly...."
681,Greensill Capital (UK) Limited,Business Intelligence Developer,Liverpool,42500.0,Warrington,"SAP BI Data Services, ETL design & development, Dashboard Design, SAP BI Administration, PostgreSQL, data warehousing, other BI, dashboard & ETL tools...."
682,Asset Resourcing,Lead Data Scientist,Liverpool,85000.0,Chester,Technical data engineering or data analysis using for example:. Senior Data Scientist:. Identify opportunities for how advanced technologies in the data science...
683,Perfectus Biomed Limited,Microbiology Laboratory Assistant,Liverpool,17331.5,Daresbury,"Conduct data entry. A to C grades in GCSEs - English, Maths and science (essential). Due to continued company growth and internal promotions Perfectus Biomed is..."
684,Ginger Recruitment Services,Quality Assurance Officer,Liverpool,19000.0,Speke,"Ginger Recruitment are pleased to be working with an established Manufacturing, Science, and Research & Development (MSRD) site based in Speke...."
685,Ginger Recruitment Services,Production Training Coordinator,Liverpool,25000.0,Speke,"Ginger Recruitment are pleased to be working on behalf of a growth Manufacturing, Science, and Research & Development organisation based in Speke...."
686,Science Solutions Recruitment Ltd,Qa Officer,Liverpool,22000.0,Liverpool,Science Solutions - QA Officer - £20-£24k - Medical Device - Liverpool. Checking and reviewing of Lab data and specifications....
687,Rentokil Initial,Laboratory Technician Apprentice,Liverpool,10920.0,Liverpool L33,"Data collection and analysis using spreadsheets. Have an interest in science, formulation and product development...."
688,Liverpool School of Tropical Medicine,Lecturer/Senior Lecturer,Liverpool,42068.0,Liverpool,"To support this continued success, the Faculty of Biological Science is seeking an experienced bioinformatician to strengthen our clinical and biological..."
689,Ginger Recruitment Services,QC Laboratory Manager,Liverpool,60000.0,Speke,Implement and develop key performance indicators from laboratory data to drive improvements within the business....
690,Ginger Recruitment Services,Laboratory Manager,Liverpool,60000.0,Liverpool,Implement and develop key performance indicators from laboratory data to drive improvements within the business....
691,Carrot Pharma Recruitment,Graduate Research Executive,Liverpool,20000.0,Cheshire,"Have a life science degree (minimum of 2:1). You will learn how to conduct fieldwork, analyse data, have the opportunity to visit viewing facilities and have..."
692,Chester Zoo,Reproductive Biology Coordinator,Liverpool,28392.0,Chester,A PhD or equivalent research experience in a relevant biological science field. Provide advice and recommendations to Chester Zoo’s IT team and the relevant...
693,The Academy of St Francis of Assisi,Assistant Head of Science,Liverpool,36180.5,Liverpool,Work closely with the Senior Leader of Science to make a difference to Science outcomes. A passion for Science teaching....
694,Adria Solutions,SQL Software Support,Liverpool,29500.0,Cheshire,"Bachelor’s degree in Computer Science, Information Systems or Engineering, MCSA/MCSE, CCNA certification or other industry qualifications are desirable...."
